,,,,CBDSCV,CBDSCV_Mini,DBSCV,DOBSCV,KFold,StratifiedKFold
accuracy,2,balanced,bias,2,9,3,12,3,11.0
accuracy,2,balanced,std,7,9,4,12,3,5.0
accuracy,2,imbalanced,bias,6,8,10,5,6,5.0
accuracy,2,imbalanced,std,5,7,8,6,3,11.0
accuracy,5,balanced,bias,6,5,7,7,7,8.0
accuracy,5,balanced,std,8,8,8,5,2,9.0
accuracy,5,imbalanced,bias,14,4,6,7,9,
accuracy,5,imbalanced,std,5,4,8,4,7,12.0
accuracy,10,balanced,bias,4,6,7,7,5,11.0
accuracy,10,balanced,std,5,6,6,10,1,12.0
accuracy,10,imbalanced,bias,9,7,5,4,8,7.0
accuracy,10,imbalanced,std,6,13,5,3,4,9.0
f1,2,balanced,bias,0,8,4,13,5,10.0
f1,2,balanced,std,8,8,5,11,3,5.0
f1,2,imbalanced,bias,6,5,9,9,5,6.0
f1,2,imbalanced,std,3,7,9,8,2,11.0
f1,5,balanced,bias,6,5,2,5,7,15.0
f1,5,balanced,std,11,8,5,5,1,10.0
f1,5,imbalanced,bias,6,6,5,1,7,15.0
f1,5,imbalanced,std,6,6,8,3,3,14.0
f1,10,balanced,bias,2,4,4,5,4,21.0
f1,10,balanced,std,5,8,5,9,2,11.0
f1,10,imbalanced,bias,4,4,2,1,5,24.0
f1,10,imbalanced,std,8,7,1,5,3,16.0
recall,2,balanced,bias,2,7,4,15,4,8.0
recall,2,balanced,std,8,10,5,7,5,5.0
recall,2,imbalanced,bias,3,11,9,7,1,9.0
recall,2,imbalanced,std,5,3,9,10,3,10.0
recall,5,balanced,bias,6,9,3,9,7,6.0
recall,5,balanced,std,14,4,3,6,1,12.0
recall,5,imbalanced,bias,7,5,10,5,9,4.0
recall,5,imbalanced,std,2,4,7,8,4,15.0
recall,10,balanced,bias,3,5,5,7,6,14.0
recall,10,balanced,std,3,7,6,5,3,16.0
recall,10,imbalanced,bias,3,6,3,3,6,19.0
recall,10,imbalanced,std,4,3,1,5,1,26.0
precision,2,balanced,bias,1,10,3,14,3,9.0
precision,2,balanced,std,8,7,8,8,3,6.0
precision,2,imbalanced,bias,5,7,12,8,2,6.0
precision,2,imbalanced,std,6,6,9,5,5,9.0
precision,5,balanced,bias,5,2,4,4,5,20.0
precision,5,balanced,std,15,5,4,4,3,9.0
precision,5,imbalanced,bias,4,3,6,4,9,14.0
precision,5,imbalanced,std,6,7,5,4,5,13.0
precision,10,balanced,bias,0,4,6,5,5,20.0
precision,10,balanced,std,5,7,3,7,5,13.0
precision,10,imbalanced,bias,3,9,1,4,6,17.0
precision,10,imbalanced,std,8,5,2,8,4,13.0
balanced_accuracy,2,balanced,bias,2,7,4,15,4,8.0
balanced_accuracy,2,balanced,std,8,10,5,7,5,5.0
balanced_accuracy,2,imbalanced,bias,3,11,9,7,1,9.0
balanced_accuracy,2,imbalanced,std,5,3,9,10,3,10.0
balanced_accuracy,5,balanced,bias,8,10,2,6,8,6.0
balanced_accuracy,5,balanced,std,15,5,3,6,1,10.0
balanced_accuracy,5,imbalanced,bias,6,7,10,5,11,1.0
balanced_accuracy,5,imbalanced,std,4,4,8,7,2,15.0
balanced_accuracy,10,balanced,bias,5,6,5,10,7,7.0
balanced_accuracy,10,balanced,std,4,9,6,6,4,11.0
balanced_accuracy,10,imbalanced,bias,6,9,3,8,3,11.0
balanced_accuracy,10,imbalanced,std,4,4,4,5,3,20.0
