,dataset_name,classifier_name,splitter_method,n_splits,metric_name,expected_estimate,estimate_std,true_value,bias
0,allrep,DecisionTreeClassifier,CBDSCV,2,accuracy,0.95590,0.00671,0.96200,-0.00610
1,allrep,DecisionTreeClassifier,CBDSCV,5,accuracy,0.95798,0.00415,0.96200,-0.00402
2,allrep,DecisionTreeClassifier,CBDSCV,10,accuracy,0.95986,0.00243,0.96200,-0.00214
3,allrep,DecisionTreeClassifier,CBDSCV_Mini,2,accuracy,0.95714,0.00502,0.96200,-0.00486
4,allrep,DecisionTreeClassifier,CBDSCV_Mini,5,accuracy,0.95836,0.00454,0.96200,-0.00364
5,allrep,DecisionTreeClassifier,CBDSCV_Mini,10,accuracy,0.96001,0.00250,0.96200,-0.00199
6,allrep,DecisionTreeClassifier,DBSCV,2,accuracy,0.95466,0.00956,0.96200,-0.00734
7,allrep,DecisionTreeClassifier,DBSCV,5,accuracy,0.95934,0.00428,0.96200,-0.00266
8,allrep,DecisionTreeClassifier,DBSCV,10,accuracy,0.95999,0.00241,0.96200,-0.00201
9,allrep,DecisionTreeClassifier,DOBSCV,2,accuracy,0.95269,0.00862,0.96200,-0.00931
10,allrep,DecisionTreeClassifier,DOBSCV,5,accuracy,0.95915,0.00272,0.96200,-0.00285
11,allrep,DecisionTreeClassifier,DOBSCV,10,accuracy,0.95960,0.00253,0.96200,-0.00240
12,allrep,DecisionTreeClassifier,KFold,2,accuracy,0.95560,0.00889,0.96200,-0.00640
13,allrep,DecisionTreeClassifier,KFold,5,accuracy,0.95946,0.00327,0.96200,-0.00254
14,allrep,DecisionTreeClassifier,KFold,10,accuracy,0.95934,0.00306,0.96200,-0.00266
15,allrep,DecisionTreeClassifier,ShuffleSplit,2,accuracy,0.96117,0.00657,0.96200,-0.00083
16,allrep,DecisionTreeClassifier,ShuffleSplit,5,accuracy,0.96038,0.00544,0.96200,-0.00162
17,allrep,DecisionTreeClassifier,ShuffleSplit,10,accuracy,0.95963,0.00415,0.96200,-0.00237
18,allrep,DecisionTreeClassifier,StratifiedKFold,2,accuracy,0.95591,0.00639,0.96200,-0.00609
19,allrep,DecisionTreeClassifier,StratifiedKFold,5,accuracy,0.95856,0.00246,0.96200,-0.00344
20,allrep,DecisionTreeClassifier,StratifiedKFold,10,accuracy,0.95959,0.00268,0.96200,-0.00241
21,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,2,accuracy,0.96014,0.00788,0.96200,-0.00186
22,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,5,accuracy,0.95967,0.00526,0.96200,-0.00233
23,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,10,accuracy,0.95991,0.00416,0.96200,-0.00209
24,allrep,DecisionTreeClassifier,CBDSCV,2,balanced_accuracy,0.77625,0.03557,0.82790,-0.05165
