,dataset_name,classifier_name,splitter_method,repeat_id,n_splits,running_time
0,flare,LogisticRegression,DBSCV,0,2,0.0757
1,flare,LogisticRegression,DBSCV,0,5,0.0735
2,flare,LogisticRegression,DBSCV,0,10,0.0722
3,flare,LogisticRegression,DBSCV,1,2,0.0715
4,flare,LogisticRegression,DBSCV,1,5,0.0714
5,flare,LogisticRegression,DBSCV,1,10,0.0724
6,flare,LogisticRegression,DBSCV,2,2,0.0718
7,flare,LogisticRegression,DBSCV,2,5,0.0714
8,flare,LogisticRegression,DBSCV,2,10,0.0719
9,flare,LogisticRegression,DBSCV,3,2,0.0714
10,flare,LogisticRegression,DBSCV,3,5,0.0710
11,flare,LogisticRegression,DBSCV,3,10,0.0716
12,flare,LogisticRegression,DBSCV,4,2,0.0717
13,flare,LogisticRegression,DBSCV,4,5,0.0700
14,flare,LogisticRegression,DBSCV,4,10,0.0749
15,flare,LogisticRegression,DBSCV,5,2,0.0772
16,flare,LogisticRegression,DBSCV,5,5,0.0728
17,flare,LogisticRegression,DBSCV,5,10,0.0738
18,flare,LogisticRegression,DBSCV,6,2,0.0716
19,flare,LogisticRegression,DBSCV,6,5,0.0767
20,flare,LogisticRegression,DBSCV,6,10,0.0819
21,flare,LogisticRegression,DBSCV,7,2,0.0739
22,flare,LogisticRegression,DBSCV,7,5,0.0744
23,flare,LogisticRegression,DBSCV,7,10,0.0739
24,flare,LogisticRegression,DBSCV,8,2,0.0733
25,flare,LogisticRegression,DBSCV,8,5,0.0696
26,flare,LogisticRegression,DBSCV,8,10,0.0732
27,flare,LogisticRegression,DBSCV,9,2,0.0741
28,flare,LogisticRegression,DBSCV,9,5,0.0776
29,flare,LogisticRegression,DBSCV,9,10,0.0741
30,flare,LogisticRegression,DBSCV,10,2,0.0761
31,flare,LogisticRegression,DBSCV,10,5,0.0723
32,flare,LogisticRegression,DBSCV,10,10,0.0707
33,flare,LogisticRegression,DBSCV,11,2,0.0716
34,flare,LogisticRegression,DBSCV,11,5,0.0707
35,flare,LogisticRegression,DBSCV,11,10,0.0716
36,flare,LogisticRegression,DBSCV,12,2,0.0729
37,flare,LogisticRegression,DBSCV,12,5,0.0731
38,flare,LogisticRegression,DBSCV,12,10,0.0725
39,flare,LogisticRegression,DBSCV,13,2,0.0722
40,flare,LogisticRegression,DBSCV,13,5,0.0740
41,flare,LogisticRegression,DBSCV,13,10,0.0773
42,flare,LogisticRegression,DBSCV,14,2,0.0769
43,flare,LogisticRegression,DBSCV,14,5,0.0744
44,flare,LogisticRegression,DBSCV,14,10,0.0741
45,flare,LogisticRegression,DBSCV,15,2,0.0718
46,flare,LogisticRegression,DBSCV,15,5,0.0696
47,flare,LogisticRegression,DBSCV,15,10,0.0724
48,flare,LogisticRegression,DBSCV,16,2,0.0724
49,flare,LogisticRegression,DBSCV,16,5,0.0712
50,flare,LogisticRegression,DBSCV,16,10,0.0733
51,flare,LogisticRegression,DBSCV,17,2,0.0717
52,flare,LogisticRegression,DBSCV,17,5,0.0706
53,flare,LogisticRegression,DBSCV,17,10,0.0719
54,flare,LogisticRegression,DBSCV,18,2,0.0724
55,flare,LogisticRegression,DBSCV,18,5,0.0708
56,flare,LogisticRegression,DBSCV,18,10,0.0726
57,flare,LogisticRegression,DBSCV,19,2,0.0719
58,flare,LogisticRegression,DBSCV,19,5,0.0710
59,flare,LogisticRegression,DBSCV,19,10,0.0716
60,flare,LogisticRegression,DOBSCV,0,2,0.0643
61,flare,LogisticRegression,DOBSCV,0,5,0.0372
62,flare,LogisticRegression,DOBSCV,0,10,0.0286
63,flare,LogisticRegression,DOBSCV,1,2,0.0683
64,flare,LogisticRegression,DOBSCV,1,5,0.0371
