dataset_name,classifier_name,splitter_method,n_splits,metric_name,expected_estimate,estimate_std
allrep,DecisionTreeClassifier,CBDSCV,2,accuracy,0.95590,0.00671
allrep,DecisionTreeClassifier,CBDSCV,2,balanced_accuracy,0.77625,0.03557
allrep,DecisionTreeClassifier,CBDSCV,2,f1,0.61707,0.03803
allrep,DecisionTreeClassifier,CBDSCV,2,precision,0.54814,0.03808
allrep,DecisionTreeClassifier,CBDSCV,2,recall,0.77625,0.03557
allrep,DecisionTreeClassifier,CBDSCV,5,accuracy,0.95798,0.00415
allrep,DecisionTreeClassifier,CBDSCV,5,balanced_accuracy,0.79109,0.03130
allrep,DecisionTreeClassifier,CBDSCV,5,f1,0.62128,0.03486
allrep,DecisionTreeClassifier,CBDSCV,5,precision,0.55365,0.03615
allrep,DecisionTreeClassifier,CBDSCV,5,recall,0.79109,0.03130
allrep,DecisionTreeClassifier,CBDSCV,10,accuracy,0.95986,0.00243
allrep,DecisionTreeClassifier,CBDSCV,10,balanced_accuracy,0.81702,0.03073
allrep,DecisionTreeClassifier,CBDSCV,10,f1,0.62707,0.02473
allrep,DecisionTreeClassifier,CBDSCV,10,precision,0.56592,0.02359
allrep,DecisionTreeClassifier,CBDSCV,10,recall,0.79770,0.02812
allrep,DecisionTreeClassifier,CBDSCV_Mini,2,accuracy,0.95714,0.00502
allrep,DecisionTreeClassifier,CBDSCV_Mini,2,balanced_accuracy,0.76428,0.03819
allrep,DecisionTreeClassifier,CBDSCV_Mini,2,f1,0.61400,0.03605
allrep,DecisionTreeClassifier,CBDSCV_Mini,2,precision,0.55027,0.03936
allrep,DecisionTreeClassifier,CBDSCV_Mini,2,recall,0.76428,0.03819
allrep,DecisionTreeClassifier,CBDSCV_Mini,5,accuracy,0.95836,0.00454
allrep,DecisionTreeClassifier,CBDSCV_Mini,5,balanced_accuracy,0.79709,0.03699
allrep,DecisionTreeClassifier,CBDSCV_Mini,5,f1,0.62485,0.03445
allrep,DecisionTreeClassifier,CBDSCV_Mini,5,precision,0.55623,0.03210
allrep,DecisionTreeClassifier,CBDSCV_Mini,5,recall,0.79709,0.03699
allrep,DecisionTreeClassifier,CBDSCV_Mini,10,accuracy,0.96001,0.00250
allrep,DecisionTreeClassifier,CBDSCV_Mini,10,balanced_accuracy,0.81999,0.02724
allrep,DecisionTreeClassifier,CBDSCV_Mini,10,f1,0.62858,0.02895
allrep,DecisionTreeClassifier,CBDSCV_Mini,10,precision,0.56909,0.02685
allrep,DecisionTreeClassifier,CBDSCV_Mini,10,recall,0.80535,0.03303
allrep,DecisionTreeClassifier,DBSCV,2,accuracy,0.95466,0.00956
allrep,DecisionTreeClassifier,DBSCV,2,balanced_accuracy,0.76036,0.02441
allrep,DecisionTreeClassifier,DBSCV,2,f1,0.60970,0.03178
allrep,DecisionTreeClassifier,DBSCV,2,precision,0.54599,0.03482
allrep,DecisionTreeClassifier,DBSCV,2,recall,0.76036,0.02441
allrep,DecisionTreeClassifier,DBSCV,5,accuracy,0.95934,0.00428
allrep,DecisionTreeClassifier,DBSCV,5,balanced_accuracy,0.80835,0.03451
allrep,DecisionTreeClassifier,DBSCV,5,f1,0.63405,0.03434
allrep,DecisionTreeClassifier,DBSCV,5,precision,0.56882,0.03517
allrep,DecisionTreeClassifier,DBSCV,5,recall,0.80607,0.03321
allrep,DecisionTreeClassifier,DBSCV,10,accuracy,0.95999,0.00241
allrep,DecisionTreeClassifier,DBSCV,10,balanced_accuracy,0.81638,0.02836
allrep,DecisionTreeClassifier,DBSCV,10,f1,0.62495,0.02732
allrep,DecisionTreeClassifier,DBSCV,10,precision,0.56570,0.02936
allrep,DecisionTreeClassifier,DBSCV,10,recall,0.80302,0.03218
allrep,DecisionTreeClassifier,DOBSCV,2,accuracy,0.95269,0.00862
allrep,DecisionTreeClassifier,DOBSCV,2,balanced_accuracy,0.75811,0.03115
allrep,DecisionTreeClassifier,DOBSCV,2,f1,0.59739,0.03262
allrep,DecisionTreeClassifier,DOBSCV,2,precision,0.53267,0.03462
allrep,DecisionTreeClassifier,DOBSCV,2,recall,0.75811,0.03115
allrep,DecisionTreeClassifier,DOBSCV,5,accuracy,0.95915,0.00272
allrep,DecisionTreeClassifier,DOBSCV,5,balanced_accuracy,0.80072,0.02585
allrep,DecisionTreeClassifier,DOBSCV,5,f1,0.62563,0.02421
allrep,DecisionTreeClassifier,DOBSCV,5,precision,0.55767,0.02195
allrep,DecisionTreeClassifier,DOBSCV,5,recall,0.80072,0.02585
allrep,DecisionTreeClassifier,DOBSCV,10,accuracy,0.95960,0.00253
allrep,DecisionTreeClassifier,DOBSCV,10,balanced_accuracy,0.81203,0.03177
allrep,DecisionTreeClassifier,DOBSCV,10,f1,0.62125,0.02853
allrep,DecisionTreeClassifier,DOBSCV,10,precision,0.56173,0.02895
allrep,DecisionTreeClassifier,DOBSCV,10,recall,0.79185,0.03494
allrep,DecisionTreeClassifier,KFold,2,accuracy,0.95560,0.00889
allrep,DecisionTreeClassifier,KFold,2,balanced_accuracy,0.76092,0.03490
allrep,DecisionTreeClassifier,KFold,2,f1,0.60545,0.04234
allrep,DecisionTreeClassifier,KFold,2,precision,0.53840,0.04365
allrep,DecisionTreeClassifier,KFold,2,recall,0.76092,0.03490
allrep,DecisionTreeClassifier,KFold,5,accuracy,0.95946,0.00327
allrep,DecisionTreeClassifier,KFold,5,balanced_accuracy,0.80090,0.03745
allrep,DecisionTreeClassifier,KFold,5,f1,0.62947,0.03011
allrep,DecisionTreeClassifier,KFold,5,precision,0.55948,0.02643
allrep,DecisionTreeClassifier,KFold,5,recall,0.80090,0.03745
allrep,DecisionTreeClassifier,KFold,10,accuracy,0.95934,0.00306
allrep,DecisionTreeClassifier,KFold,10,balanced_accuracy,0.81472,0.02711
allrep,DecisionTreeClassifier,KFold,10,f1,0.62316,0.02568
allrep,DecisionTreeClassifier,KFold,10,precision,0.56112,0.02722
allrep,DecisionTreeClassifier,KFold,10,recall,0.80282,0.03379
allrep,DecisionTreeClassifier,ShuffleSplit,2,accuracy,0.96117,0.00657
allrep,DecisionTreeClassifier,ShuffleSplit,2,balanced_accuracy,0.80271,0.09499
allrep,DecisionTreeClassifier,ShuffleSplit,2,f1,0.62267,0.07133
allrep,DecisionTreeClassifier,ShuffleSplit,2,precision,0.57038,0.06789
allrep,DecisionTreeClassifier,ShuffleSplit,2,recall,0.79376,0.10770
allrep,DecisionTreeClassifier,ShuffleSplit,5,accuracy,0.96038,0.00544
allrep,DecisionTreeClassifier,ShuffleSplit,5,balanced_accuracy,0.81412,0.05423
allrep,DecisionTreeClassifier,ShuffleSplit,5,f1,0.62281,0.04676
allrep,DecisionTreeClassifier,ShuffleSplit,5,precision,0.56335,0.04828
allrep,DecisionTreeClassifier,ShuffleSplit,5,recall,0.80011,0.05858
allrep,DecisionTreeClassifier,ShuffleSplit,10,accuracy,0.95963,0.00415
allrep,DecisionTreeClassifier,ShuffleSplit,10,balanced_accuracy,0.80896,0.04344
allrep,DecisionTreeClassifier,ShuffleSplit,10,f1,0.61362,0.04054
allrep,DecisionTreeClassifier,ShuffleSplit,10,precision,0.55333,0.03897
allrep,DecisionTreeClassifier,ShuffleSplit,10,recall,0.79348,0.04467
allrep,DecisionTreeClassifier,StratifiedKFold,2,accuracy,0.95591,0.00639
allrep,DecisionTreeClassifier,StratifiedKFold,2,balanced_accuracy,0.75217,0.04229
allrep,DecisionTreeClassifier,StratifiedKFold,2,f1,0.60379,0.03620
allrep,DecisionTreeClassifier,StratifiedKFold,2,precision,0.53661,0.03604
allrep,DecisionTreeClassifier,StratifiedKFold,2,recall,0.75217,0.04229
allrep,DecisionTreeClassifier,StratifiedKFold,5,accuracy,0.95856,0.00246
allrep,DecisionTreeClassifier,StratifiedKFold,5,balanced_accuracy,0.79687,0.02476
allrep,DecisionTreeClassifier,StratifiedKFold,5,f1,0.63198,0.02599
allrep,DecisionTreeClassifier,StratifiedKFold,5,precision,0.55844,0.02735
allrep,DecisionTreeClassifier,StratifiedKFold,5,recall,0.79687,0.02476
allrep,DecisionTreeClassifier,StratifiedKFold,10,accuracy,0.95959,0.00268
allrep,DecisionTreeClassifier,StratifiedKFold,10,balanced_accuracy,0.80412,0.02893
allrep,DecisionTreeClassifier,StratifiedKFold,10,f1,0.63900,0.03145
allrep,DecisionTreeClassifier,StratifiedKFold,10,precision,0.57209,0.03310
allrep,DecisionTreeClassifier,StratifiedKFold,10,recall,0.80412,0.02893
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,2,accuracy,0.96014,0.00788
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,2,balanced_accuracy,0.81486,0.06936
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,2,f1,0.64972,0.06141
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,2,precision,0.58706,0.07237
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,2,recall,0.81486,0.06936
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,5,accuracy,0.95967,0.00526
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,5,balanced_accuracy,0.81011,0.04577
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,5,f1,0.64336,0.04008
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,5,precision,0.57613,0.04556
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,5,recall,0.81011,0.04577
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,10,accuracy,0.95991,0.00416
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,10,balanced_accuracy,0.81058,0.04812
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,10,f1,0.64554,0.04509
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,10,precision,0.57952,0.04551
allrep,DecisionTreeClassifier,StratifiedShuffleSplit,10,recall,0.81058,0.04812
allrep,LogisticRegression,CBDSCV,2,accuracy,0.90015,0.00191
allrep,LogisticRegression,CBDSCV,2,balanced_accuracy,0.76179,0.03892
allrep,LogisticRegression,CBDSCV,2,f1,0.46424,0.01725
allrep,LogisticRegression,CBDSCV,2,precision,0.39568,0.01177
allrep,LogisticRegression,CBDSCV,2,recall,0.76179,0.03892
allrep,LogisticRegression,CBDSCV,5,accuracy,0.90184,0.00157
allrep,LogisticRegression,CBDSCV,5,balanced_accuracy,0.79345,0.02251
allrep,LogisticRegression,CBDSCV,5,f1,0.47582,0.00594
allrep,LogisticRegression,CBDSCV,5,precision,0.40436,0.00387
allrep,LogisticRegression,CBDSCV,5,recall,0.79345,0.02251
allrep,LogisticRegression,CBDSCV,10,accuracy,0.90178,0.00150
allrep,LogisticRegression,CBDSCV,10,balanced_accuracy,0.80272,0.02533
allrep,LogisticRegression,CBDSCV,10,f1,0.47230,0.00829
allrep,LogisticRegression,CBDSCV,10,precision,0.40596,0.00604
allrep,LogisticRegression,CBDSCV,10,recall,0.78894,0.02614
allrep,LogisticRegression,CBDSCV_Mini,2,accuracy,0.90040,0.00166
allrep,LogisticRegression,CBDSCV_Mini,2,balanced_accuracy,0.76228,0.02740
allrep,LogisticRegression,CBDSCV_Mini,2,f1,0.46528,0.01150
allrep,LogisticRegression,CBDSCV_Mini,2,precision,0.39619,0.00734
allrep,LogisticRegression,CBDSCV_Mini,2,recall,0.76228,0.02740
allrep,LogisticRegression,CBDSCV_Mini,5,accuracy,0.90156,0.00149
allrep,LogisticRegression,CBDSCV_Mini,5,balanced_accuracy,0.79243,0.01560
allrep,LogisticRegression,CBDSCV_Mini,5,f1,0.47531,0.00702
allrep,LogisticRegression,CBDSCV_Mini,5,precision,0.40368,0.00558
allrep,LogisticRegression,CBDSCV_Mini,5,recall,0.79243,0.01560
allrep,LogisticRegression,CBDSCV_Mini,10,accuracy,0.90173,0.00148
allrep,LogisticRegression,CBDSCV_Mini,10,balanced_accuracy,0.79765,0.01867
allrep,LogisticRegression,CBDSCV_Mini,10,f1,0.47162,0.00895
allrep,LogisticRegression,CBDSCV_Mini,10,precision,0.40431,0.00696
allrep,LogisticRegression,CBDSCV_Mini,10,recall,0.78371,0.02002
allrep,LogisticRegression,DBSCV,2,accuracy,0.90080,0.00183
allrep,LogisticRegression,DBSCV,2,balanced_accuracy,0.76978,0.03239
allrep,LogisticRegression,DBSCV,2,f1,0.46919,0.01347
allrep,LogisticRegression,DBSCV,2,precision,0.39903,0.00905
allrep,LogisticRegression,DBSCV,2,recall,0.76978,0.03239
allrep,LogisticRegression,DBSCV,5,accuracy,0.90177,0.00168
allrep,LogisticRegression,DBSCV,5,balanced_accuracy,0.79932,0.02008
allrep,LogisticRegression,DBSCV,5,f1,0.47560,0.00954
allrep,LogisticRegression,DBSCV,5,precision,0.40405,0.00633
allrep,LogisticRegression,DBSCV,5,recall,0.79731,0.02184
allrep,LogisticRegression,DBSCV,10,accuracy,0.90189,0.00167
allrep,LogisticRegression,DBSCV,10,balanced_accuracy,0.80557,0.02409
allrep,LogisticRegression,DBSCV,10,f1,0.47245,0.00848
allrep,LogisticRegression,DBSCV,10,precision,0.40485,0.00569
allrep,LogisticRegression,DBSCV,10,recall,0.79082,0.02751
allrep,LogisticRegression,DOBSCV,2,accuracy,0.90052,0.00128
allrep,LogisticRegression,DOBSCV,2,balanced_accuracy,0.76989,0.02658
allrep,LogisticRegression,DOBSCV,2,f1,0.46757,0.01035
allrep,LogisticRegression,DOBSCV,2,precision,0.39774,0.00698
allrep,LogisticRegression,DOBSCV,2,recall,0.76989,0.02658
allrep,LogisticRegression,DOBSCV,5,accuracy,0.90183,0.00128
allrep,LogisticRegression,DOBSCV,5,balanced_accuracy,0.79203,0.02495
allrep,LogisticRegression,DOBSCV,5,f1,0.47572,0.00780
allrep,LogisticRegression,DOBSCV,5,precision,0.40417,0.00531
allrep,LogisticRegression,DOBSCV,5,recall,0.79203,0.02495
allrep,LogisticRegression,DOBSCV,10,accuracy,0.90193,0.00160
allrep,LogisticRegression,DOBSCV,10,balanced_accuracy,0.79940,0.02722
allrep,LogisticRegression,DOBSCV,10,f1,0.47400,0.00884
