metric_name,accuracy,accuracy,accuracy,accuracy
classifier_name,DecisionTree,LogisticRegression,RandomForest,SVC
analcatdata_germangss,0.0682,0.0599,0.0564,0.0566
chess,0.0049,0.0080,0.0047,0.0032
analcatdata_happiness,0.1963,0.1656,0.1670,0.1711
analcatdata_japansolvent,0.1612,0.1571,0.1492,0.1533
vote,0.0343,0.0295,0.0280,0.0260
colic,0.0613,0.0530,0.0590,0.0578
dna,0.0176,0.0125,0.0117,0.0105
vowel,0.0413,0.0404,0.0150,0.0098
movement_libras,0.0706,0.0557,0.0566,0.0484
analcatdata_dmft,0.0322,0.0358,0.0408,0.0433
allrep,0.0084,0.0138,0.0106,0.0137
appendicitis,0.1183,0.1095,0.1076,0.1043
page_blocks,0.0192,0.0136,0.0104,0.0135
new_thyroid,0.0576,0.0374,0.0669,0.0362
backache,0.1235,0.1064,0.0929,0.1223
flare,0.0362,0.0376,0.0384,0.0357
postoperative_patient_data,0.1501,0.1673,0.1767,0.0000
hepatitis,0.0809,0.0859,0.0929,0.0878
analcatdata_cyyoung8092,0.1271,0.1211,0.1464,0.1158
car,0.0113,0.0326,0.0134,0.0096
