metric_name,balanced_accuracy,balanced_accuracy,balanced_accuracy,balanced_accuracy
classifier_name,DecisionTree,LogisticRegression,RandomForest,SVC
analcatdata_germangss,0.3153,0.2995,0.2377,0.2245
chess,0.9947,0.9730,0.9912,0.9959
analcatdata_happiness,0.4783,0.6217,0.3467,0.5967
analcatdata_japansolvent,0.7400,0.8333,0.8650,0.7883
vote,0.9508,0.9582,0.9534,0.9628
colic,0.8112,0.8142,0.8421,0.7982
dna,0.9132,0.9492,0.9484,0.9606
vowel,0.8207,0.6715,0.9763,0.9901
movement_libras,0.6850,0.7706,0.8261,0.8794
analcatdata_dmft,0.2097,0.2228,0.2270,0.2418
allrep,0.8279,0.8156,0.8464,0.7979
appendicitis,0.7608,0.7911,0.7883,0.8089
page_blocks,0.8789,0.9133,0.9299,0.9256
new_thyroid,0.9082,0.9524,0.9381,0.9746
backache,0.6728,0.6343,0.5976,0.6620
flare,0.6899,0.7034,0.7012,0.7080
postoperative_patient_data,0.4232,0.4675,0.4275,0.5000
hepatitis,0.6329,0.7799,0.7803,0.7841
analcatdata_cyyoung8092,0.6675,0.7675,0.7562,0.7325
car,0.9638,0.5021,0.9616,0.9913
