metric_name,f1,f1,f1,f1
classifier_name,DecisionTree,LogisticRegression,RandomForest,SVC
analcatdata_germangss,0.0671,0.0620,0.0546,0.0573
chess,0.0049,0.0080,0.0047,0.0032
analcatdata_happiness,0.2060,0.1937,0.1609,0.2019
analcatdata_japansolvent,0.1789,0.1767,0.1632,0.1667
vote,0.0350,0.0309,0.0294,0.0272
colic,0.0660,0.0556,0.0614,0.0630
dna,0.0199,0.0139,0.0132,0.0118
vowel,0.0420,0.0415,0.0150,0.0099
movement_libras,0.0762,0.0631,0.0644,0.0534
analcatdata_dmft,0.0168,0.0365,0.0380,0.0460
allrep,0.0708,0.0449,0.0723,0.0466
appendicitis,0.1898,0.1725,0.1704,0.1776
page_blocks,0.0481,0.0347,0.0423,0.0384
new_thyroid,0.0825,0.0579,0.0689,0.0464
backache,0.1487,0.1328,0.1347,0.1197
flare,0.0505,0.0463,0.0452,0.0478
postoperative_patient_data,0.1479,0.1575,0.1593,0.0000
hepatitis,0.1278,0.1163,0.1092,0.1092
analcatdata_cyyoung8092,0.1855,0.1572,0.1657,0.1731
car,0.0359,0.0227,0.0343,0.0148
