metric_name,precision,precision,precision,precision
classifier_name,DecisionTree,LogisticRegression,RandomForest,SVC
analcatdata_germangss,0.0700,0.0897,0.0569,0.0699
chess,0.0049,0.0081,0.0047,0.0032
analcatdata_happiness,0.2386,0.2358,0.1774,0.2423
analcatdata_japansolvent,0.1845,0.1687,0.1479,0.1660
vote,0.0348,0.0307,0.0296,0.0278
colic,0.0654,0.0558,0.0622,0.0636
dna,0.0201,0.0150,0.0139,0.0127
vowel,0.0405,0.0413,0.0134,0.0091
movement_libras,0.0851,0.0701,0.0684,0.0560
analcatdata_dmft,0.0111,0.0656,0.0702,0.0634
allrep,0.0745,0.0308,0.0682,0.0336
appendicitis,0.2106,0.1799,0.1830,0.1886
page_blocks,0.0549,0.0325,0.0481,0.0410
new_thyroid,0.0804,0.0410,0.0712,0.0495
backache,0.1403,0.1143,0.1453,0.0907
flare,0.0461,0.0399,0.0389,0.0418
postoperative_patient_data,0.1389,0.1638,0.1618,0.0000
hepatitis,0.1592,0.1190,0.1114,0.1051
analcatdata_cyyoung8092,0.2113,0.1603,0.1514,0.1761
car,0.0415,0.0500,0.0430,0.0209
