metric_name,recall,recall,recall,recall
classifier_name,DecisionTree,LogisticRegression,RandomForest,SVC
analcatdata_germangss,0.0682,0.0599,0.0564,0.0566
chess,0.0050,0.0080,0.0047,0.0032
analcatdata_happiness,0.1963,0.1656,0.1670,0.1711
analcatdata_japansolvent,0.1612,0.1571,0.1492,0.1533
vote,0.0312,0.0308,0.0289,0.0263
colic,0.0668,0.0562,0.0606,0.0631
dna,0.0203,0.0129,0.0129,0.0115
vowel,0.0413,0.0404,0.0150,0.0098
movement_libras,0.0728,0.0578,0.0587,0.0482
analcatdata_dmft,0.0333,0.0371,0.0420,0.0432
allrep,0.0829,0.0853,0.0859,0.0920
appendicitis,0.1847,0.1802,0.1740,0.1800
page_blocks,0.0544,0.0310,0.0420,0.0336
new_thyroid,0.0896,0.0708,0.0488,0.0404
backache,0.1715,0.1765,0.1502,0.1642
flare,0.0609,0.0636,0.0609,0.0619
postoperative_patient_data,0.1655,0.1978,0.1799,0.0000
hepatitis,0.1276,0.1276,0.1115,0.1172
analcatdata_cyyoung8092,0.1863,0.1648,0.1828,0.1891
car,0.0277,0.0404,0.0274,0.0107
