ds_name,classifier_name,metric_name,true_value
allrep,DecisionTreeClassifier,accuracy,0.9620
allrep,DecisionTreeClassifier,balanced_accuracy,0.8279
allrep,DecisionTreeClassifier,f1,0.6572
allrep,DecisionTreeClassifier,precision,0.5860
allrep,DecisionTreeClassifier,recall,0.8279
allrep,LogisticRegression,accuracy,0.9018
allrep,LogisticRegression,balanced_accuracy,0.8156
allrep,LogisticRegression,f1,0.4851
allrep,LogisticRegression,precision,0.4090
allrep,LogisticRegression,recall,0.8156
allrep,RandomForestClassifier,accuracy,0.9521
allrep,RandomForestClassifier,balanced_accuracy,0.8464
allrep,RandomForestClassifier,f1,0.6400
allrep,RandomForestClassifier,precision,0.5594
allrep,RandomForestClassifier,recall,0.8464
allrep,SVC,accuracy,0.9007
allrep,SVC,balanced_accuracy,0.7979
allrep,SVC,f1,0.4949
allrep,SVC,precision,0.4214
allrep,SVC,recall,0.7979
analcatdata_cyyoung8092,DecisionTreeClassifier,accuracy,0.7800
analcatdata_cyyoung8092,DecisionTreeClassifier,balanced_accuracy,0.6675
analcatdata_cyyoung8092,DecisionTreeClassifier,f1,0.6478
analcatdata_cyyoung8092,DecisionTreeClassifier,precision,0.6634
analcatdata_cyyoung8092,DecisionTreeClassifier,recall,0.6675
analcatdata_cyyoung8092,LogisticRegression,accuracy,0.7780
analcatdata_cyyoung8092,LogisticRegression,balanced_accuracy,0.7675
analcatdata_cyyoung8092,LogisticRegression,f1,0.7055
analcatdata_cyyoung8092,LogisticRegression,precision,0.7173
analcatdata_cyyoung8092,LogisticRegression,recall,0.7675
analcatdata_cyyoung8092,RandomForestClassifier,accuracy,0.7330
analcatdata_cyyoung8092,RandomForestClassifier,balanced_accuracy,0.7562
analcatdata_cyyoung8092,RandomForestClassifier,f1,0.6778
analcatdata_cyyoung8092,RandomForestClassifier,precision,0.6923
analcatdata_cyyoung8092,RandomForestClassifier,recall,0.7562
analcatdata_cyyoung8092,SVC,accuracy,0.7820
analcatdata_cyyoung8092,SVC,balanced_accuracy,0.7325
analcatdata_cyyoung8092,SVC,f1,0.6865
analcatdata_cyyoung8092,SVC,precision,0.6845
analcatdata_cyyoung8092,SVC,recall,0.7325
analcatdata_dmft,DecisionTreeClassifier,accuracy,0.2045
analcatdata_dmft,DecisionTreeClassifier,balanced_accuracy,0.2097
analcatdata_dmft,DecisionTreeClassifier,f1,0.1025
analcatdata_dmft,DecisionTreeClassifier,precision,0.0681
analcatdata_dmft,DecisionTreeClassifier,recall,0.2097
analcatdata_dmft,LogisticRegression,accuracy,0.2156
analcatdata_dmft,LogisticRegression,balanced_accuracy,0.2228
analcatdata_dmft,LogisticRegression,f1,0.1966
analcatdata_dmft,LogisticRegression,precision,0.2154
analcatdata_dmft,LogisticRegression,recall,0.2228
analcatdata_dmft,RandomForestClassifier,accuracy,0.2195
analcatdata_dmft,RandomForestClassifier,balanced_accuracy,0.2270
analcatdata_dmft,RandomForestClassifier,f1,0.1769
analcatdata_dmft,RandomForestClassifier,precision,0.1774
analcatdata_dmft,RandomForestClassifier,recall,0.2270
analcatdata_dmft,SVC,accuracy,0.2370
analcatdata_dmft,SVC,balanced_accuracy,0.2418
analcatdata_dmft,SVC,f1,0.2221
analcatdata_dmft,SVC,precision,0.2507
analcatdata_dmft,SVC,recall,0.2418
analcatdata_germangss,DecisionTreeClassifier,accuracy,0.3153
analcatdata_germangss,DecisionTreeClassifier,balanced_accuracy,0.3153
analcatdata_germangss,DecisionTreeClassifier,f1,0.3082
analcatdata_germangss,DecisionTreeClassifier,precision,0.3139
analcatdata_germangss,DecisionTreeClassifier,recall,0.3153
analcatdata_germangss,LogisticRegression,accuracy,0.2995
analcatdata_germangss,LogisticRegression,balanced_accuracy,0.2995
analcatdata_germangss,LogisticRegression,f1,0.2987
analcatdata_germangss,LogisticRegression,precision,0.3428
analcatdata_germangss,LogisticRegression,recall,0.2995
analcatdata_germangss,RandomForestClassifier,accuracy,0.2377
analcatdata_germangss,RandomForestClassifier,balanced_accuracy,0.2377
